event_id,event_name,event_start_date,event_end_date,event_type,external_partner,tickets_allocated,tickets_sold,revenue,description
HE001,Halloween Nightmare Fest,2024-04-07,2024-04-20,seasonal,Dark Arts Events Co.,1839,1716,79094.23,Seasonal haunted event: halloween nightmare fest.
HE002,Halloween Horror Special,2023-05-24,2023-05-29,seasonal,Ghostly Productions Inc.,909,673,64347.41,Seasonal haunted event: halloween horror special.
HE003,Halloween Fright Nights,2024-12-23,2025-01-14,special,Horror Haus GmbH,5938,5768,219675.82,Special haunted event: halloween fright nights.
HE004,Halloween Scream Date,2025-07-01,2025-07-17,seasonal,Frightful Experiences Ltd,1834,1531,145445.47,Seasonal haunted event: halloween scream date.
HE005,Halloween Terror Tour,2025-04-20,2025-04-27,seasonal,Nightmare Collective Inc.,3263,2751,295826.85,Seasonal haunted event: halloween terror tour.
HE006,Halloween Ghost Walk,2023-03-12,2023-03-17,special,Spooky Ventures Co.,3980,3740,172451.72,Special haunted event: halloween ghost walk.
HE007,Halloween Death March,2025-03-07,2025-03-18,seasonal,Crypt Keepers LLC,879,797,72498.29,Seasonal haunted event: halloween death march.
HE008,Halloween Horror Gala,2022-06-29,2022-07-15,seasonal,Terror Trail Agency,2791,2498,84528.9,Seasonal haunted event: halloween horror gala.
HE009,Halloween Fear Fest,2025-02-16,2025-02-17,special,Haunted Horizons,3683,2626,164460.68,Special haunted event: halloween fear fest.
HE010,Halloween Dread Night,2024-12-30,2025-01-02,seasonal,Scare Syndicate LLC,3985,3453,383358.29,Seasonal haunted event: halloween dread night.
HE011,Halloween Scare Season,2025-05-25,2025-06-09,seasonal,Dark Arts Events Co.,620,463,19271.25,Seasonal haunted event: halloween scare season.
HE012,Halloween Haunt Week,2022-11-26,2022-12-20,special,Ghostly Productions Inc.,3818,3509,397345.92,Special haunted event: halloween haunt week.
HE013,Halloween Fright Fest,2022-12-30,2023-01-30,seasonal,Horror Haus GmbH,4322,3945,180846.94,Seasonal haunted event: halloween fright fest.
HE014,Halloween Scream Week,2022-08-13,2022-08-14,seasonal,Frightful Experiences Ltd,1602,1446,132378.15,Seasonal haunted event: halloween scream week.
HE015,Halloween Horror Weekend,2024-05-08,2024-05-11,special,Nightmare Collective Inc.,3685,3505,132284.66,Special haunted event: halloween horror weekend.
HE016,Halloween Panic Night,2023-09-27,2023-10-17,seasonal,Spooky Ventures Co.,246,195,11636.19,Seasonal haunted event: halloween panic night.
HE017,Halloween Crypt Tour,2024-12-07,2024-12-20,seasonal,Crypt Keepers LLC,1844,1162,101836.55,Seasonal haunted event: halloween crypt tour.
HE018,Halloween Dark Carnival,2024-06-26,2024-07-05,special,Terror Trail Agency,4668,3627,378158.43,Special haunted event: halloween dark carnival.
HE019,Halloween Horror Maze,2022-09-16,2022-09-28,seasonal,Haunted Horizons,5893,5485,619793.73,Seasonal haunted event: halloween horror maze.
HE020,Halloween Fear Trail,2022-09-26,2022-10-20,seasonal,Scare Syndicate LLC,5112,4662,453379.12,Seasonal haunted event: halloween fear trail.
HE021,Midnight Nightmare Fest,2025-05-30,2025-06-30,special,Dark Arts Events Co.,3544,2380,92066.71,Special haunted event: midnight nightmare fest.
HE022,Midnight Horror Special,2022-10-22,2022-11-01,seasonal,Ghostly Productions Inc.,1626,1156,77323.35,Seasonal haunted event: midnight horror special.
HE023,Midnight Fright Nights,2023-03-02,2023-03-31,seasonal,Horror Haus GmbH,4795,3530,350709.18,Seasonal haunted event: midnight fright nights.
HE024,Midnight Scream Date,2023-04-25,2023-05-23,special,Frightful Experiences Ltd,2310,1506,161455.17,Special haunted event: midnight scream date.
HE025,Midnight Terror Tour,2024-01-11,2024-01-17,seasonal,Nightmare Collective Inc.,5756,3749,281590.97,Seasonal haunted event: midnight terror tour.
HE026,Midnight Ghost Walk,2022-01-23,2022-02-11,seasonal,Spooky Ventures Co.,590,440,21766.36,Seasonal haunted event: midnight ghost walk.
HE027,Midnight Death March,2024-03-28,2024-04-08,special,Crypt Keepers LLC,3471,2872,193187.58,Special haunted event: midnight death march.
HE028,Midnight Horror Gala,2024-01-30,2024-02-17,seasonal,Terror Trail Agency,959,667,72810.49,Seasonal haunted event: midnight horror gala.
