feedback_id,customer_id,visit_date,ride_id,rating,category,sentiment,comments,submitted_at
F001,C001,2024-01-14,R001,1,ride,negative,Staff seemed disinterested and unhelpful.,2024-01-28 13:06:00
F002,C002,2024-05-17,R002,2,food,negative,Overpriced food with tiny portions.,2024-06-11 16:57:00
F003,C003,2024-04-26,,3,general,neutral,"Ride was fine, food was mediocre.",2024-06-02 08:25:00
F004,C004,2023-10-20,R004,4,wait_times,positive,"Clean, well-organised and so much fun.",2023-12-12 09:54:00
F005,C005,2024-07-26,R005,5,staff,positive,Absolutely loved it! Will come back soon.,2024-09-08 09:42:00
F006,C006,2023-09-17,,1,cleanliness,negative,Staff seemed disinterested and unhelpful.,2023-06-22 08:50:00
F007,C007,2023-11-18,R007,2,ride,negative,Overpriced food with tiny portions.,2024-02-05 10:50:00
F008,C008,2024-03-16,R008,3,food,neutral,"Ride was fine, food was mediocre.",2023-12-28 09:53:00
F009,C009,2024-06-26,,4,general,positive,"Clean, well-organised and so much fun.",2023-12-30 17:13:00
F010,C010,2024-07-21,R010,5,wait_times,positive,Absolutely loved it! Will come back soon.,2024-01-25 13:49:00
F011,C011,2023-08-15,R011,1,staff,negative,Staff seemed disinterested and unhelpful.,2023-06-03 12:54:00
F012,C012,2023-08-14,,2,cleanliness,negative,Overpriced food with tiny portions.,2023-10-12 16:16:00
F013,C013,2024-07-13,R013,3,ride,neutral,"Ride was fine, food was mediocre.",2023-11-26 09:42:00
F014,C014,2024-08-17,R014,4,food,positive,"Clean, well-organised and so much fun.",2023-06-27 10:00:00
F015,C015,2023-12-01,,5,general,positive,Absolutely loved it! Will come back soon.,2024-01-30 17:20:00
F016,C016,2023-06-09,R016,1,wait_times,negative,Staff seemed disinterested and unhelpful.,2023-11-26 12:03:00
F017,C017,2023-08-04,R017,2,staff,negative,Overpriced food with tiny portions.,2024-08-05 16:07:00
F018,C018,2024-06-16,,3,cleanliness,neutral,"Ride was fine, food was mediocre.",2023-08-05 15:28:00
